Date,Last,Change,Bid,Ask,Volume,Open Int.,Strike
26-Mar,10.35,-3.40 ,10.2,10.35,13,301,112
26-Mar,9.6,-2.25 ,9.3,9.4,2,167,113
26-Mar,8.7,-2.10 ,8.4,8.5,48,242,114
26-Mar,7.7,-2.85 ,7.5,7.6,86,1089,115
26-Mar,6.9,-2.10 ,6.65,6.75,48,805,116
26-Mar,5.97,-1.98 ,5.8,5.9,117,1621,117
26-Mar,5.14,-1.96 ,5.05,5.15,316,2213,118
26-Mar,4.4,-1.97 ,4.3,4.4,268,4986,119
26-Mar,3.7,-1.85 ,3.7,3.75,2013,7417,120
26-Mar,3.1,-1.60 ,3.05,3.15,1156,5432,121
26-Mar,2.56,-1.44 ,2.56,2.58,8096,10951,122
26-Mar,2.1,-1.40 ,2.09,2.11,8864,6622,123
26-Mar,1.68,-1.23 ,1.68,1.69,5992,4848,124
26-Mar,1.36,-1.04 ,1.35,1.36,16028,19304,125
26-Mar,1.07,-0.84 ,1.06,1.07,5413,10477,126
26-Mar,0.84,-0.73 ,0.83,0.84,4571,8832,127
26-Mar,0.65,-0.60 ,0.65,0.66,3412,8646,128
26-Mar,0.52,-0.44 ,0.5,0.52,1624,5987,129
26-Mar,0.4,-0.36 ,0.4,0.41,6991,30238,130
26-Mar,0.32,-0.27 ,0.31,0.32,970,12988,131
26-Mar,0.26,-0.20 ,0.25,0.26,774,8278,132
26-Mar,0.21,-0.14 ,0.2,0.21,573,4364,133
26-Mar,0.17,-0.12 ,0.16,0.17,621,4706,134